"자치구별(1)","항목","시점","경제활동별(1)",데이터
"종로구","2020년 기준년 연쇄가격","2022","숙박 및 음식점업",630939
"종로구","2020년 기준년 연쇄가격","2022","정보통신업",3347406
"종로구","2020년 기준년 연쇄가격","2022","금융 및 보험업",5633139
"종로구","2020년 기준년 연쇄가격","2022","부동산업",1013578
"종로구","2020년 기준년 연쇄가격","2022","사업서비스업",4289205
"종로구","2020년 기준년 연쇄가격","2022","공공 행정, 국방 및 사회보장 행정",4935253
"종로구","2020년 기준년 연쇄가격","2022","교육 서비스업",790176
"종로구","2020년 기준년 연쇄가격","2022","보건업 및 사회복지서비스업",1628469
"종로구","2020년 기준년 연쇄가격","2022","문화 및 기타 서비스업",873479
"중구","2020년 기준년 연쇄가격","2015","지역내총생산(시장가격)",55790830
"중구","2020년 기준년 연쇄가격","2015","순생산물세",6024093
"중구","2020년 기준년 연쇄가격","2015","총부가가치(기초가격)",49712935
"중구","2020년 기준년 연쇄가격","2015","농업, 임업 및 어업",13
"중구","2020년 기준년 연쇄가격","2015","광업",511
"중구","2020년 기준년 연쇄가격","2015","제조업",1177897
"중구","2020년 기준년 연쇄가격","2015","전기, 가스, 증기 및 공기 조절 공급업",115640
"중구","2020년 기준년 연쇄가격","2015","건설업",584336
"중구","2020년 기준년 연쇄가격","2015","도매 및 소매업",9191286
"중구","2020년 기준년 연쇄가격","2015","운수 및 창고업",1633812
"중구","2020년 기준년 연쇄가격","2015","숙박 및 음식점업",950531
"중구","2020년 기준년 연쇄가격","2015","정보통신업",6685360
"중구","2020년 기준년 연쇄가격","2015","금융 및 보험업",16356748
"중구","2020년 기준년 연쇄가격","2015","부동산업",1223291
"중구","2020년 기준년 연쇄가격","2015","사업서비스업",7359466
"중구","2020년 기준년 연쇄가격","2015","공공 행정, 국방 및 사회보장 행정",2606959
"중구","2020년 기준년 연쇄가격","2015","교육 서비스업",744476
"중구","2020년 기준년 연쇄가격","2015","보건업 및 사회복지서비스업",470936
