STD_YEAR,STD_QT,DIST_CODE,AGE_ORD,AGE_GRP,POP_CNT
2014,1,11545,7,30~34세,23737
2014,1,11545,8,35~39세,19969
2014,1,11545,9,40~44세,22719
2014,1,11545,10,45~49세,23555
2014,1,11545,11,50~54세,25257
2014,1,11545,12,55~59세,21117
2014,1,11545,13,60~64세,14303
2014,1,11545,14,65~69세,10832
2014,1,11545,15,70~74세,8495
2014,1,11545,16,75~79세,5030
2014,1,11545,17,80~84세,2548
2014,1,11545,18,85~89세,1115
2014,1,11545,19,90~94세,451
2014,1,11545,20,95~99세,132
2014,1,11545,21,100세 이상,108
2014,1,11560,1,0~4세,17115
2014,1,11560,2,5~9세,14939
2014,1,11560,3,10~14세,15497
2014,1,11560,4,15~19세,19991
2014,1,11560,5,20~24세,25041
2014,1,11560,6,25~29세,34361
2014,1,11560,7,30~34세,42060
2014,1,11560,8,35~39세,35768
2014,1,11560,9,40~44세,38013
2014,1,11560,10,45~49세,35016
2014,1,11560,11,50~54세,37752
2014,1,11560,12,55~59세,33961
2014,1,11560,13,60~64세,22576
2014,1,11560,14,65~69세,17575
2014,1,11560,15,70~74세,13958
2014,1,11560,16,75~79세,9204
2014,1,11560,17,80~84세,4548
2014,1,11560,18,85~89세,2186
2014,1,11560,19,90~94세,862
2014,1,11560,20,95~99세,240
2014,1,11560,21,100세 이상,235
2014,1,11590,1,0~4세,17188
2014,1,11590,2,5~9세,15605
2014,1,11590,3,10~14세,16804
2014,1,11590,4,15~19세,21864
2014,1,11590,5,20~24세,30427
2014,1,11590,6,25~29세,37712
2014,1,11590,7,30~34세,43197
2014,1,11590,8,35~39세,35347
2014,1,11590,9,40~44세,36083
2014,1,11590,10,45~49세,30835
2014,1,11590,11,50~54세,33610
2014,1,11590,12,55~59세,30491
2014,1,11590,13,60~64세,22037
2014,1,11590,14,65~69세,18409
2014,1,11590,15,70~74세,14721
2014,1,11590,16,75~79세,9171
2014,1,11590,17,80~84세,4804
2014,1,11590,18,85~89세,2285
2014,1,11590,19,90~94세,964
2014,1,11590,20,95~99세,246
2014,1,11590,21,100세 이상,190
2014,1,11620,1,0~4세,18824
2014,1,11620,2,5~9세,16856
2014,1,11620,3,10~14세,18486
2014,1,11620,4,15~19세,24859
2014,1,11620,5,20~24세,39263
2014,1,11620,6,25~29세,58159
2014,1,11620,7,30~34세,62568
2014,1,11620,8,35~39세,45808
2014,1,11620,9,40~44세,45174
2014,1,11620,10,45~49세,38378
2014,1,11620,11,50~54세,40406
2014,1,11620,12,55~59세,37480
2014,1,11620,13,60~64세,28017
2014,1,11620,14,65~69세,23298
2014,1,11620,15,70~74세,18361
2014,1,11620,16,75~79세,10331
2014,1,11620,17,80~84세,4930
2014,1,11620,18,85~89세,2305
2014,1,11620,19,90~94세,907
2014,1,11620,20,95~99세,243
2014,1,11620,21,100세 이상,215
2014,1,11650,1,0~4세,20563
2014,1,11650,2,5~9세,21053
2014,1,11650,3,10~14세,24690
2014,1,11650,4,15~19세,28221
2014,1,11650,5,20~24세,28471
2014,1,11650,6,25~29세,32251
2014,1,11650,7,30~34세,42032
2014,1,11650,8,35~39세,38230
2014,1,11650,9,40~44세,44102
2014,1,11650,10,45~49세,36899
2014,1,11650,11,50~54세,33678
2014,1,11650,12,55~59세,30703
2014,1,11650,13,60~64세,21948
2014,1,11650,14,65~69세,17770
2014,1,11650,15,70~74세,12276
2014,1,11650,16,75~79세,7418
2014,1,11650,17,80~84세,4085
2014,1,11650,18,85~89세,2397
2014,1,11650,19,90~94세,1020
2014,1,11650,20,95~99세,303
2014,1,11650,21,100세 이상,153
2014,1,11680,1,0~4세,20913
2014,1,11680,2,5~9세,21411
2014,1,11680,3,10~14세,29697
2014,1,11680,4,15~19세,41405
2014,1,11680,5,20~24세,39961
2014,1,11680,6,25~29세,44995
2014,1,11680,7,30~34세,56309
2014,1,11680,8,35~39세,46195
2014,1,11680,9,40~44세,52484
2014,1,11680,10,45~49세,50717
2014,1,11680,11,50~54세,45597
2014,1,11680,12,55~59세,39079
2014,1,11680,13,60~64세,27420
2014,1,11680,14,65~69세,21523
2014,1,11680,15,70~74세,14531
2014,1,11680,16,75~79세,8658
2014,1,11680,17,80~84세,5050
2014,1,11680,18,85~89세,2961
2014,1,11680,19,90~94세,1278
2014,1,11680,20,95~99세,333
2014,1,11680,21,100세 이상,184
2014,1,11710,1,0~4세,29494
2014,1,11710,2,5~9세,29243
2014,1,11710,3,10~14세,35576
2014,1,11710,4,15~19세,42797
2014,1,11710,5,20~24세,45885
2014,1,11710,6,25~29세,51483
2014,1,11710,7,30~34세,65259
2014,1,11710,8,35~39세,56130
2014,1,11710,9,40~44세,62240
2014,1,11710,10,45~49세,56219
2014,1,11710,11,50~54세,56614
2014,1,11710,12,55~59세,50734
2014,1,11710,13,60~64세,34234
2014,1,11710,14,65~69세,24589
2014,1,11710,15,70~74세,16944
2014,1,11710,16,75~79세,10506
2014,1,11710,17,80~84세,6008
2014,1,11710,18,85~89세,3184
2014,1,11710,19,90~94세,1278
2014,1,11710,20,95~99세,328
2014,1,11710,21,100세 이상,167
2014,1,11740,1,0~4세,20333
2014,1,11740,2,5~9세,19555
2014,1,11740,3,10~14세,23105
2014,1,11740,4,15~19세,30572
2014,1,11740,5,20~24세,33558
2014,1,11740,6,25~29세,35642
2014,1,11740,7,30~34세,45008
2014,1,11740,8,35~39세,38485
2014,1,11740,9,40~44세,41432
2014,1,11740,10,45~49세,40390
2014,1,11740,11,50~54세,44120
2014,1,11740,12,55~59세,39780
2014,1,11740,13,60~64세,26129
2014,1,11740,14,65~69세,18914
2014,1,11740,15,70~74세,13004
2014,1,11740,16,75~79세,7944
2014,1,11740,17,80~84세,4682
2014,1,11740,18,85~89세,2532
2014,1,11740,19,90~94세,1035
2014,1,11740,20,95~99세,236
2014,1,11740,21,100세 이상,160
2014,2,11110,1,0~4세,4692
2014,2,11110,2,5~9세,5151
2014,2,11110,3,10~14세,6944
2014,2,11110,4,15~19세,9361
2014,2,11110,5,20~24세,12828
2014,2,11110,6,25~29세,13560
2014,2,11110,7,30~34세,13235
2014,2,11110,8,35~39세,11315
2014,2,11110,9,40~44세,14758
2014,2,11110,10,45~49세,14274
2014,2,11110,11,50~54세,14570
2014,2,11110,12,55~59세,12761
2014,2,11110,13,60~64세,8951
2014,2,11110,14,65~69세,7705
2014,2,11110,15,70~74세,7052
2014,2,11110,16,75~79세,4651
2014,2,11110,17,80~84세,2575
2014,2,11110,18,85~89세,1319
2014,2,11110,19,90~94세,593
2014,2,11110,20,95~99세,183
2014,2,11110,21,100세 이상,187
2014,2,11140,1,0~4세,4872
2014,2,11140,2,5~9세,4107
2014,2,11140,3,10~14세,4484
2014,2,11140,4,15~19세,6183
2014,2,11140,5,20~24세,9270
2014,2,11140,6,25~29세,10843
2014,2,11140,7,30~34세,12521
2014,2,11140,8,35~39세,10699
2014,2,11140,9,40~44세,11822
2014,2,11140,10,45~49세,11154
2014,2,11140,11,50~54세,12109
2014,2,11140,12,55~59세,11527
2014,2,11140,13,60~64세,7891
2014,2,11140,14,65~69세,6359
2014,2,11140,15,70~74세,5666
2014,2,11140,16,75~79세,3757
2014,2,11140,17,80~84세,2112
2014,2,11140,18,85~89세,1031
2014,2,11140,19,90~94세,439
2014,2,11140,20,95~99세,151
2014,2,11140,21,100세 이상,125
2014,2,11170,1,0~4세,9829
2014,2,11170,2,5~9세,9271
2014,2,11170,3,10~14세,10032
2014,2,11170,4,15~19세,12359
2014,2,11170,5,20~24세,15236
2014,2,11170,6,25~29세,18620
2014,2,11170,7,30~34세,24308
2014,2,11170,8,35~39세,20992
2014,2,11170,9,40~44세,23744
2014,2,11170,10,45~49세,20588
2014,2,11170,11,50~54세,20493
2014,2,11170,12,55~59세,18382
2014,2,11170,13,60~64세,12702
2014,2,11170,14,65~69세,10771
2014,2,11170,15,70~74세,9715
2014,2,11170,16,75~79세,7020
2014,2,11170,17,80~84세,3725
2014,2,11170,18,85~89세,1938
2014,2,11170,19,90~94세,733
2014,2,11170,20,95~99세,222
2014,2,11170,21,100세 이상,242
2014,2,11200,1,0~4세,12613
2014,2,11200,2,5~9세,11448
2014,2,11200,3,10~14세,12455
2014,2,11200,4,15~19세,15884
2014,2,11200,5,20~24세,21974
2014,2,11200,6,25~29세,24249
2014,2,11200,7,30~34세,28989
2014,2,11200,8,35~39세,25600
2014,2,11200,9,40~44세,28237
2014,2,11200,10,45~49세,24865
2014,2,11200,11,50~54세,26060
2014,2,11200,12,55~59세,22845
2014,2,11200,13,60~64세,15388
2014,2,11200,14,65~69세,12423
2014,2,11200,15,70~74세,10754
2014,2,11200,16,75~79세,6837
2014,2,11200,17,80~84세,3432
2014,2,11200,18,85~89세,1633
2014,2,11200,19,90~94세,650
2014,2,11200,20,95~99세,203
2014,2,11200,21,100세 이상,153
2014,2,11215,1,0~4세,13902
2014,2,11215,2,5~9세,13218
2014,2,11215,3,10~14세,16090
2014,2,11215,4,15~19세,22193
2014,2,11215,5,20~24세,29377
2014,2,11215,6,25~29세,34895
2014,2,11215,7,30~34세,38048
2014,2,11215,8,35~39세,29779
2014,2,11215,9,40~44세,33443
2014,2,11215,10,45~49세,31926
2014,2,11215,11,50~54세,32629
2014,2,11215,12,55~59세,28104
2014,2,11215,13,60~64세,18078
2014,2,11215,14,65~69세,14127
2014,2,11215,15,70~74세,11086
2014,2,11215,16,75~79세,6977
2014,2,11215,17,80~84세,3532
2014,2,11215,18,85~89세,1708
2014,2,11215,19,90~94세,715
2014,2,11215,20,95~99세,180
2014,2,11215,21,100세 이상,139
2014,2,11230,1,0~4세,13784
2014,2,11230,2,5~9세,13151
2014,2,11230,3,10~14세,14843
2014,2,11230,4,15~19세,19571
2014,2,11230,5,20~24세,28956
2014,2,11230,6,25~29세,30753
2014,2,11230,7,30~34세,33154
2014,2,11230,8,35~39세,28904
2014,2,11230,9,40~44세,31984
2014,2,11230,10,45~49세,29150
2014,2,11230,11,50~54세,30789
2014,2,11230,12,55~59세,29043
2014,2,11230,13,60~64세,20765
2014,2,11230,14,65~69세,17239
2014,2,11230,15,70~74세,15061
2014,2,11230,16,75~79세,9461
2014,2,11230,17,80~84세,4649
2014,2,11230,18,85~89세,2156
2014,2,11230,19,90~94세,851
2014,2,11230,20,95~99세,202
2014,2,11230,21,100세 이상,198
2014,2,11260,1,0~4세,15956
2014,2,11260,2,5~9세,14726
2014,2,11260,3,10~14세,17305
2014,2,11260,4,15~19세,24176
2014,2,11260,5,20~24세,29626
2014,2,11260,6,25~29세,31290
2014,2,11260,7,30~34세,37742
2014,2,11260,8,35~39세,31515
2014,2,11260,9,40~44세,36183
2014,2,11260,10,45~49세,36224
2014,2,11260,11,50~54세,39147
2014,2,11260,12,55~59세,34707
2014,2,11260,13,60~64세,23649
2014,2,11260,14,65~69세,18574
2014,2,11260,15,70~74세,14897
2014,2,11260,16,75~79세,9148
2014,2,11260,17,80~84세,4558
2014,2,11260,18,85~89세,2163
2014,2,11260,19,90~94세,812
2014,2,11260,20,95~99세,216
2014,2,11260,21,100세 이상,127
2014,2,11290,1,0~4세,19329
2014,2,11290,2,5~9세,20189
2014,2,11290,3,10~14세,22198
2014,2,11290,4,15~19세,26545
2014,2,11290,5,20~24세,35640
2014,2,11290,6,25~29세,35966
2014,2,11290,7,30~34세,40791
2014,2,11290,8,35~39세,37980
2014,2,11290,9,40~44세,45086
2014,2,11290,10,45~49세,38439
2014,2,11290,11,50~54세,38497
2014,2,11290,12,55~59세,35176
2014,2,11290,13,60~64세,24943
2014,2,11290,14,65~69세,20993
2014,2,11290,15,70~74세,18400
2014,2,11290,16,75~79세,11734
2014,2,11290,17,80~84세,5823
2014,2,11290,18,85~89세,2750
2014,2,11290,19,90~94세,1052
2014,2,11290,20,95~99세,304
2014,2,11290,21,100세 이상,260
2014,2,11305,1,0~4세,12446
2014,2,11305,2,5~9세,11874
2014,2,11305,3,10~14세,14356
2014,2,11305,4,15~19세,18951
2014,2,11305,5,20~24세,22107
2014,2,11305,6,25~29세,22367
2014,2,11305,7,30~34세,28318
2014,2,11305,8,35~39세,26001
2014,2,11305,9,40~44세,30292
2014,2,11305,10,45~49세,27891
2014,2,11305,11,50~54세,28868
2014,2,11305,12,55~59세,27097
2014,2,11305,13,60~64세,19855
2014,2,11305,14,65~69세,17726
2014,2,11305,15,70~74세,15391
2014,2,11305,16,75~79세,9180
2014,2,11305,17,80~84세,4314
2014,2,11305,18,85~89세,1960
2014,2,11305,19,90~94세,768
2014,2,11305,20,95~99세,200
2014,2,11305,21,100세 이상,205
2014,2,11320,1,0~4세,13302
2014,2,11320,2,5~9세,13420
2014,2,11320,3,10~14세,17092
2014,2,11320,4,15~19세,22650
2014,2,11320,5,20~24세,25403
2014,2,11320,6,25~29세,23913
2014,2,11320,7,30~34세,28220
2014,2,11320,8,35~39세,25239
2014,2,11320,9,40~44세,31301
2014,2,11320,10,45~49세,30418
2014,2,11320,11,50~54세,32518
2014,2,11320,12,55~59세,30008
2014,2,11320,13,60~64세,19674
2014,2,11320,14,65~69세,15488
2014,2,11320,15,70~74세,13346
2014,2,11320,16,75~79세,8618
2014,2,11320,17,80~84세,4637
2014,2,11320,18,85~89세,2247
2014,2,11320,19,90~94세,808
2014,2,11320,20,95~99세,175
2014,2,11320,21,100세 이상,113
2014,2,11350,1,0~4세,22773
2014,2,11350,2,5~9세,24779
2014,2,11350,3,10~14세,34484
2014,2,11350,4,15~19세,43374
2014,2,11350,5,20~24세,43352
2014,2,11350,6,25~29세,36614
2014,2,11350,7,30~34세,45285
2014,2,11350,8,35~39세,43548
2014,2,11350,9,40~44세,55694
2014,2,11350,10,45~49세,53117
2014,2,11350,11,50~54세,50538
2014,2,11350,12,55~59세,43022
2014,2,11350,13,60~64세,28211
2014,2,11350,14,65~69세,21415
2014,2,11350,15,70~74세,18358
2014,2,11350,16,75~79세,12748
2014,2,11350,17,80~84세,7300
2014,2,11350,18,85~89세,3451
2014,2,11350,19,90~94세,1332
2014,2,11350,20,95~99세,299
2014,2,11350,21,100세 이상,184
2014,2,11380,1,0~4세,20691
2014,2,11380,2,5~9세,20384
2014,2,11380,3,10~14세,23872
2014,2,11380,4,15~19세,29618
2014,2,11380,5,20~24세,32994
2014,2,11380,6,25~29세,33472
2014,2,11380,7,30~34세,44327
2014,2,11380,8,35~39세,40651
2014,2,11380,9,40~44세,46581
2014,2,11380,10,45~49세,40796
2014,2,11380,11,50~54세,41650
2014,2,11380,12,55~59세,38107
2014,2,11380,13,60~64세,27213
2014,2,11380,14,65~69세,22868
2014,2,11380,15,70~74세,19629
