"시점","자치구별(1)","자치구별(2)",항목,데이터
"2015","서울시","구로구",구성비 (%),3.3
"2015","서울시","구로구",인구(추계인구) (명),446416
"2015","서울시","구로구",1인당 지역내총생산 (천원),28539
"2015","서울시","구로구",수준지수 (서울특별시=100) (%),73.35
"2016","서울시","구로구",지역내총생산 (당해년 가격) (백만원),13728556
"2016","서울시","구로구",구성비 (%),3.4
"2016","서울시","구로구",인구(추계인구) (명),442766
"2016","서울시","구로구",1인당 지역내총생산 (천원),31006
"2016","서울시","구로구",수준지수 (서울특별시=100) (%),75.04
"2017","서울시","구로구",지역내총생산 (당해년 가격) (백만원),14541118
"2017","서울시","구로구",구성비 (%),3.4
"2017","서울시","구로구",인구(추계인구) (명),438700
"2017","서울시","구로구",1인당 지역내총생산 (천원),33146
"2017","서울시","구로구",수준지수 (서울특별시=100) (%),75.80
"2018","서울시","구로구",지역내총생산 (당해년 가격) (백만원),15644516
"2018","서울시","구로구",구성비 (%),3.5
"2018","서울시","구로구",인구(추계인구) (명),432270
"2018","서울시","구로구",1인당 지역내총생산 (천원),36192
"2018","서울시","구로구",수준지수 (서울특별시=100) (%),77.81
"2019","서울시","구로구",지역내총생산 (당해년 가격) (백만원),16326446
"2019","서울시","구로구",구성비 (%),3.5
"2019","서울시","구로구",인구(추계인구) (명),431001
"2019","서울시","구로구",1인당 지역내총생산 (천원),37880
"2019","서울시","구로구",수준지수 (서울특별시=100) (%),78.55
"2020","서울시","구로구",지역내총생산 (당해년 가격) (백만원),15445696
"2020","서울시","구로구",구성비 (%),3.3
"2020","서울시","구로구",인구(추계인구) (명),434846
"2020","서울시","구로구",1인당 지역내총생산 (천원),35520
"2020","서울시","구로구",수준지수 (서울특별시=100) (%),72.25
"2021","서울시","구로구",지역내총생산 (당해년 가격) (백만원),16121175
"2021","서울시","구로구",구성비 (%),3.2
"2021","서울시","구로구",인구(추계인구) (명),429461
"2021","서울시","구로구",1인당 지역내총생산 (천원),37538
"2021","서울시","구로구",수준지수 (서울특별시=100) (%),70.29
"2022","서울시","구로구",지역내총생산 (당해년 가격) (백만원),17326224
"2022","서울시","구로구",구성비 (%),3.3
"2022","서울시","구로구",인구(추계인구) (명),422716
"2022","서울시","구로구",1인당 지역내총생산 (천원),40988
"2022","서울시","구로구",수준지수 (서울특별시=100) (%),73.07
"2015","서울시","금천구",지역내총생산 (당해년 가격) (백만원),14844236
