,cold_cnt_d0,cold_cnt_d_plus_1,cold_cnt_d_plus_2,cold_cnt_d_plus_3,dist_name
pm10_avg_d0,0.16118265609371257,0.10935429237982476,0.14585467410492345,0.1562842681485778,DIST_11215
pm10_streak_d0,0.048967718705726915,0.01661823384224105,0.050204038679132396,0.08509423371571079,DIST_11215
pm10_ma_72h,0.17099040734229132,0.1703327538017771,0.18335067605072494,0.17576664625958638,DIST_11215
temp_avg_d0,-0.2944517123745753,-0.2989841369647869,-0.2937912847448891,-0.291763994696768,DIST_11215
temp_diff_d0,0.012352660152699509,-0.013784058241820411,-0.0001414290491403863,-0.014235142549708273,DIST_11215
temp_min_d0,-0.30016685597931264,-0.3009589383078632,-0.29703582514596244,-0.2935019051832455,DIST_11215
is_holiday,-0.48178437202179664,-0.1343712574711454,0.2879459242509976,0.054852598534019165,DIST_11215
std_month,-0.006433657696447778,-0.01686670619541472,-0.0039401984380865954,0.0017043293626873824,DIST_11215
cold_prev_d1,0.23220168511195532,0.33331771350074973,0.40722748431026773,0.40612467401827845,DIST_11215
cold_prev_d2,0.3328802989595015,0.40725623603866096,0.40615646038104825,0.31882026505209954,DIST_11215
cold_prev_d3,0.4061478030426704,0.4064970496163407,0.31884870673749777,0.23672897468555906,DIST_11215
pm25_avg_d0,0.14451668686714755,0.10592775466893539,0.14385621811716323,0.1635240321523962,DIST_11230
pm25_max_d0,0.15573037090937472,0.10519250412965633,0.15422242194307573,0.16401000413705086,DIST_11230
pm25_streak_d0,0.06058884399980731,0.025359417050881152,0.08220850737821533,0.06544597989754476,DIST_11230
pm25_ma_72h,0.15431347427506817,0.1627036555567773,0.18041095351400757,0.17752983404519734,DIST_11230
pm10_avg_d0,0.1785597171460986,0.12451659149392019,0.16640544437531452,0.1782758818979997,DIST_11230
pm10_streak_d0,0.05115378516376988,0.019825738321033542,0.0639372183239178,0.09613989920065585,DIST_11230
pm10_ma_72h,0.19108688688040099,0.1923146803251986,0.2087665481575319,0.20001348959991574,DIST_11230
temp_avg_d0,-0.30928291692991955,-0.3135518756538805,-0.3078490884953588,-0.30672189681632955,DIST_11230
temp_diff_d0,0.026848554975069966,-0.0012301571224960718,0.0030790312537862796,-0.012449541826538749,DIST_11230
temp_min_d0,-0.3133369560401147,-0.3142429273139037,-0.3093389111076585,-0.30553612681234,DIST_11230
is_holiday,-0.4751829724427658,-0.13512606969943441,0.2906690938231666,0.0673120990305567,DIST_11230
std_month,-0.013044260663470931,-0.023439904352104315,-0.010467841918963163,-0.004411065702928305,DIST_11230
cold_prev_d1,0.27504207464805436,0.3444822655382562,0.42373174400240593,0.4224240873452773,DIST_11230
cold_prev_d2,0.34381821482934594,0.42380729334841893,0.4224730316362886,0.3297892182863198,DIST_11230
cold_prev_d3,0.4225123441647548,0.4228234799483716,0.3298172566771521,0.2767406864198186,DIST_11230
pm25_avg_d0,0.14310701247498425,0.10300598835737032,0.139899117331647,0.1610631355931335,DIST_11260
pm25_max_d0,0.15334477413722866,0.1032393743567376,0.1431980457407141,0.1666903027851253,DIST_11260
pm25_streak_d0,0.08590051797598333,0.05410363432150275,0.07948481151237131,0.10310265391107057,DIST_11260
pm25_ma_72h,0.15069166832492142,0.15921708316701585,0.176710915518861,0.17414498289372138,DIST_11260
pm10_avg_d0,0.15371922336145236,0.09911227390350266,0.138091322856703,0.1482650063988873,DIST_11260
pm10_streak_d0,0.050611597773769536,0.03670388914186405,0.056794695450655845,0.08832470994315625,DIST_11260
pm10_ma_72h,0.15933589847021223,0.15831519613545722,0.17377100324872333,0.16528629500774816,DIST_11260
temp_avg_d0,-0.31375063445279056,-0.3176076884225523,-0.31166055495990647,-0.3090075223664275,DIST_11260
temp_diff_d0,0.03576239239666734,0.011595152572224132,0.014564043340325792,0.007293972023744851,DIST_11260
temp_min_d0,-0.3191483779864422,-0.31986190467932096,-0.3143302384858601,-0.31008105584033324,DIST_11260
is_holiday,-0.4731367072797188,-0.13548694046779117,0.29148438298622087,0.054163618866868816,DIST_11260
std_month,-0.007408065910331937,-0.01788307821491303,-0.004458489368908475,0.001717472923144161,DIST_11260
cold_prev_d1,0.269986469193988,0.34517778207507555,0.4297238933263798,0.42715558715228263,DIST_11260
cold_prev_d2,0.3447184925768033,0.42974895558101106,0.4271877925497718,0.332469728136892,DIST_11260
cold_prev_d3,0.4286040504940103,0.42746341076722083,0.332485923634411,0.2704277141043756,DIST_11260
pm25_avg_d0,0.14334529588823902,0.10564122727545078,0.1393128388076238,0.16659416708384725,DIST_11290
pm25_max_d0,0.1429631654006366,0.08574313417412267,0.14679054638805167,0.1616240222156958,DIST_11290
pm25_streak_d0,0.06976384858442027,0.0097673992249151,0.07262641415923655,0.08750875888131317,DIST_11290
pm25_ma_72h,0.15349571469324758,0.16383278244537255,0.18428485624923752,0.1830659742875671,DIST_11290
pm10_avg_d0,0.16375464982247648,0.10012109856368205,0.14049613374369146,0.15539150814973832,DIST_11290
pm10_streak_d0,0.03814503304037157,0.015976822117093746,0.049614717538319995,0.10089692878897161,DIST_11290
pm10_ma_72h,0.16601310358049104,0.1634404240285836,0.18058281603298723,0.17296514797055254,DIST_11290
temp_avg_d0,-0.26745545457780906,-0.26987719148996403,-0.2648530181611708,-0.26296708776298333,DIST_11290
temp_diff_d0,0.06405909305179307,0.035796420572794106,0.03646301891594993,0.03204161131884347,DIST_11290
temp_min_d0,-0.2721901365091808,-0.2702961257195675,-0.2654725694390212,-0.2623470670705531,DIST_11290
is_holiday,-0.4941316491488077,-0.15032689862405088,0.3027320539543257,0.06009546141234558,DIST_11290
std_month,0.006125876678831383,-0.004513623272123465,0.008163832644815103,0.014048153317018907,DIST_11290
cold_prev_d1,0.22209702129980158,0.29333235344417474,0.39229219387652214,0.3899315762544147,DIST_11290
cold_prev_d2,0.29287069119060877,0.3923471347800313,0.3899664276406289,0.27886451106310617,DIST_11290
cold_prev_d3,0.391225174089845,0.39026819889002723,0.27888265725708505,0.22320520831000323,DIST_11290
pm25_avg_d0,0.10546419061804232,0.0748571261294464,0.10726191625537852,0.13328446871234614,DIST_11305
pm25_max_d0,0.11472977956362454,0.07100675056544399,0.11698254260931505,0.13401459313968594,DIST_11305
pm25_streak_d0,0.045902282100360445,0.0020798810711446587,0.06396728868277751,0.06860110223191523,DIST_11305
pm25_ma_72h,0.11328589107641165,0.12510645482429514,0.14082893725174778,0.14183086868214337,DIST_11305
pm10_avg_d0,0.10962169704945851,0.06374092869541527,0.097207758839997,0.11053567671478086,DIST_11305
pm10_streak_d0,0.019703565602958627,0.0013324086167696531,0.03995658076693909,0.05932517677154497,DIST_11305
pm10_ma_72h,0.11145939243414384,0.113112399633768,0.12613879617515145,0.12030430427330568,DIST_11305
temp_avg_d0,-0.3070131618308694,-0.3101560543500042,-0.304654077835747,-0.30333618744225055,DIST_11305
temp_diff_d0,0.02025962724012865,-0.013074380805022788,-0.012113845674568227,-0.01553595973093605,DIST_11305
temp_min_d0,-0.3109598255877596,-0.3107109464234288,-0.3049940619342484,-0.3022983261527838,DIST_11305
is_holiday,-0.4857404767758476,-0.12635457716990484,0.29733823355499156,0.06832127811627554,DIST_11305
std_month,-0.011681413410112747,-0.02209217026578731,-0.008493317879791856,-0.002278707220387155,DIST_11305
cold_prev_d1,0.274794056152888,0.3396642002998141,0.42248711140280687,0.42209511206243805,DIST_11305
cold_prev_d2,0.33912698151597737,0.4224742906483472,0.422105819979881,0.3264761245515679,DIST_11305
cold_prev_d3,0.42132804963177933,0.42238017137297307,0.32643634861809223,0.27686313619094216,DIST_11305
pm25_avg_d0,0.15468171572965098,0.11956691768110675,0.15018855895826672,0.17160007938105776,DIST_11320
pm25_max_d0,0.1572829753052731,0.11829069298852062,0.16114812797178607,0.17348613810475902,DIST_11320
pm25_streak_d0,0.07981816032771206,0.020862706194656043,0.07288878640541539,0.07365257768750982,DIST_11320
pm25_ma_72h,0.16761233561465855,0.17559554587604154,0.1928241000088252,0.19041914009030578,DIST_11320
pm10_avg_d0,0.1715761405284428,0.13006848446048708,0.16457111337245744,0.1734557613686566,DIST_11320
pm10_streak_d0,0.04584648553996759,0.04061529144106392,0.06392974826923101,0.11609797521137653,DIST_11320
pm10_ma_72h,0.19178407587180468,0.19377936760158937,0.2063381330253727,0.19678974678907865,DIST_11320
temp_avg_d0,-0.3104644824858034,-0.3136556101681605,-0.3083670008636158,-0.30732489860650863,DIST_11320
temp_diff_d0,0.056827722955734024,0.034514640124193294,0.04408306427397219,0.027822773428403648,DIST_11320
temp_min_d0,-0.3174946406497435,-0.3161955123959259,-0.31294552450961544,-0.30860594898543586,DIST_11320
is_holiday,-0.462158363432981,-0.13067680700011633,0.29378070601130735,0.056749947319031546,DIST_11320
std_month,-0.0067326186648156055,-0.016908739071208694,-0.0029993413984870563,0.0033718527043077088,DIST_11320
cold_prev_d1,0.2931924756113066,0.3624360726403883,0.4454322464656671,0.44385966798030785,DIST_11320
cold_prev_d2,0.36186901173668345,0.44543434523453984,0.4439004068267247,0.3538297084829754,DIST_11320
cold_prev_d3,0.4441970223675372,0.44418981461218005,0.3538655008639308,0.2944501972631072,DIST_11320
pm25_avg_d0,0.14393335285287706,0.11622941239387355,0.1487074335029246,0.1697704121053734,DIST_11350
pm25_max_d0,0.13732808965193158,0.09664873832503779,0.13878988179183951,0.1567987187160337,DIST_11350
